value,ioc_type,category,confidence,tlp,sources,tags,first_seen,last_seen,description
20.169.104.239,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
172.234.217.129,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
65.49.1.153,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
65.49.1.160,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
40.80.201.49,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
170.106.163.48,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
194.165.16.161,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
8.219.222.66,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
43.133.187.11,ipv4,threat,medium,WHITE,capelabs/threatmesh,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
185.247.137.100,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
35.165.123.240,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
195.184.76.174,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
147.185.132.96,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
130.131.162.246,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
147.185.132.243,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
139.162.70.53,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
66.175.213.4,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
45.33.109.18,ipv4,threat,high,WHITE,capelabs/threatmesh|blocklist.de/ssh|blocklist.de/all|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
45.33.12.122,ipv4,threat,high,WHITE,capelabs/threatmesh|blocklist.de/ssh|blocklist.de/all|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
45.79.207.252,ipv4,threat,high,WHITE,capelabs/threatmesh|blocklist.de/ssh|blocklist.de/all|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
66.240.236.109,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
14.18.118.84,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
172.236.228.218,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
66.228.53.4,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
20.118.217.162,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
87.236.176.25,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
45.33.109.8,ipv4,threat,high,WHITE,capelabs/threatmesh|blocklist.de/ssh|blocklist.de/all|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
194.165.16.167,ipv4,threat,high,WHITE,capelabs/threatmesh|blocklist.de/ssh|blocklist.de/all|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
72.14.178.148,ipv4,threat,high,WHITE,capelabs/threatmesh|blocklist.de/ssh|blocklist.de/all|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
103.203.57.18,ipv4,threat,medium,WHITE,capelabs/threatmesh,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
221.180.47.59,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
220.250.52.75,ipv4,threat,high,WHITE,capelabs/threatmesh|blocklist.de/ssh|blocklist.de/all|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
74.249.128.189,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
183.56.243.176,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
20.64.106.118,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
65.49.20.69,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
20.102.117.125,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
203.55.131.3,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
43.134.0.85,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
45.79.5.11,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
193.32.249.163,ipv4,threat,medium,WHITE,capelabs/threatmesh,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
120.205.80.220,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
46.101.146.208,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
45.79.8.221,ipv4,threat,high,WHITE,capelabs/threatmesh|blocklist.de/ssh|blocklist.de/all|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
